127.0.0.1 - - [19/Mar/2018:17:00:40 +0800] "GET / HTTP/1.1" 200 11452
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/login.jsp HTTP/1.1" 200 3608
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/css/font-awesome.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/css/isotope.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/css/dataTables.bootstrap-1.10.13.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/css/google-fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/js/bootstrap-3.3.4.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/js/jquery-3.0.0.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/js/angular.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/js/jquery.dataTables-1.10.13.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:46 +0800] "GET /project2/js/dataTables.bootstrap-1.10.13.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:47 +0800] "GET /project2/images/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:47 +0800] "GET /project2/fonts/esvmc5un3kjyuhb9zeppwg.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:47 +0800] "GET /project2/images/pw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:47 +0800] "GET /project2/fonts/1ywb1so8ye1lyjf12wniua.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "POST /project2/LoginServlet?method=loginCheck HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "POST /project2/LoginServlet?method=loginToCms HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "GET /project2/ControlServlet?method=countAll HTTP/1.1" 200 11058
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "GET /project2/images/wanho-logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "GET /project2/images/info-data-sprite.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "GET /project2/picture/2_avatar_middle.jpg HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "GET /project2/fonts/gtrkrntnri0g82cjkneb0q.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "GET /project2/fonts/fontawesome-webfont.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "GET /project2/fonts/h2dmvhdlycm56knuatbjya.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:50 +0800] "GET /project2/fonts/se7en.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:57 +0800] "GET /project2/CustomerServlet?method=getAllCustomer HTTP/1.1" 200 19654
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:00:57 +0800] "GET /project2/picture/2_avatar_middle.jpg HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:01:04 +0800] "GET /project2/CustomerServlet?method=getAllZd HTTP/1.1" 200 23386
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:01:04 +0800] "GET /project2/picture/2_avatar_middle.jpg HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:01:28 +0800] "GET /project2/CustomerServlet?method=getAllCustomer HTTP/1.1" 200 19654
0:0:0:0:0:0:0:1 - - [19/Mar/2018:17:01:28 +0800] "GET /project2/picture/2_avatar_middle.jpg HTTP/1.1" 404 1066
